Bundesland, Flaeche, Einwohner, Einwohner je qkm, Bevoelkerungsdichte, Anteil an Gesamtflaeche, Anteil an Gesamtbevoelkerung
Baden-Württemberg, 35748.0, 11069533.00, 309.65, 309.65, 1.00, 1.00
Bayern, 70542.0, 13076721.00, 185.37, 185.37, 1.51, 1.85
Berlin, 891.0, 3644826.00, 4090.71, 4090.71, 120.29, 7.62
Brandenburg, 29654.0, 2511917.00, 84.71, 84.71, 4.61, 12.06
Bremen, 419.0, 682986.00, 1630.04, 1630.04, 327.58, 45.37
Hamburg, 755.0, 1841179.00, 2438.65, 2438.65, 182.79, 17.83
Hessen, 21116.0, 6265809.00, 296.73, 296.73, 7.54, 6.24
Mecklenburg-Vorpommern, 23295.0, 1609675.00, 69.10, 69.10, 7.83, 25.29
Niedersachsen, 47710.0, 7982448.00, 167.31, 167.31, 4.82, 6.10
Nordrhein-Westfalen, 34112.0, 17932651.00, 525.70, 525.70, 7.75, 3.71
Rheinland-Pfalz, 19858.0, 4084844.00, 205.70, 205.70, 14.31, 17.31
Saarland, 2571.0, 990509.00, 385.26, 385.26, 111.50, 72.38
Sachsen, 18450.0, 4077937.00, 221.03, 221.03, 16.54, 18.58
Sachsen-Anhalt, 20454.0, 2208321.00, 107.97, 107.97, 15.92, 35.31
Schleswig-Holstein, 15804.0, 2896712.00, 183.29, 183.29, 21.60, 27.92
Thüringen, 16202.0, 2143145.00, 132.28, 132.28, 22.07, 38.74
